CRA_bin,SPD,SPD_Z,SPD_M3
4160,0.5840000000000001,-0.44573081897149197,0.5786666666666668
4140,0.67,-0.36091615937106475,0.6696666666666667
4120,0.755,-0.2770877167427356,0.7586666666666666
4100,0.851,-0.18241088742132847,0.8453333333333334
4080,0.93,-0.1044997466255871,0.9316666666666666
4060,1.014,-0.0216575209693559,0.9820000000000001
4040,1.002,-0.03349212463453181,1.016
4020,1.032,-0.0039056154715920483,1.0143333333333333
4000,1.009,-0.02658860582984597,0.9586666666666668
3980,0.835,-0.19819035897489634,0.8596666666666667
3960,0.735,-0.2968120561846954,0.7450000000000001
3940,0.665,-0.36584724423155474,0.6546666666666668
3920,0.5640000000000001,-0.4654551584134518,0.6043333333333335
3900,0.584,-0.4457308189714921,0.6096666666666667
3880,0.681,-0.35006777267798683,0.6743333333333333
3860,0.758,-0.2741290658264416,0.7646666666666668
3840,0.855,-0.1784660195329365,0.86
3820,0.967,-0.06800971865796152,0.926
3800,0.956,-0.07885810535103943,0.9486666666666667
3780,0.923,-0.11140326543027305,0.9336666666666668
3760,0.922,-0.11238948240237104,0.9133333333333334
3740,0.895,-0.13901734064901683,0.895
3720,0.868,-0.1656451988956626,0.8740000000000001
3700,0.859,-0.17452115164454451,0.872
3680,0.889,-0.1449346424816048,0.896
3660,0.94,-0.09463757690460729,0.8826666666666667
3640,0.819,-0.2139698305284642,0.783
3620,0.59,-0.4398135171389041,0.622
3600,0.457,-0.5709803744279368,0.448
3580,0.297,-0.7287750899636155,0.3380000000000001
3560,0.26,-0.7652651179312411,0.26700000000000007
3540,0.244,-0.7810445894848089,0.2636666666666667
3520,0.287,-0.7386372596845954,0.28266666666666673
3500,0.317,-0.7090507505216557,0.3083333333333334
3480,0.321,-0.7051058826332637,0.3080000000000001
3460,0.286,-0.7396234766566933,0.2823333333333334
3440,0.24,-0.7849894573732009,0.2513333333333334
3420,0.228,-0.7968240610383769,0.2583333333333334
3400,0.307,-0.7189129202426355,0.3246666666666667
3380,0.439,-0.5887322799257007,0.4333333333333334
