CRA_bin,SPD,SPD_Z,SPD_M3
2560,2.691,0.2541035708350201,2.699666666666667
2540,3.456,0.6486880631712633,3.4943333333333335
2520,4.336,1.102589178538445,4.314333333333334
2500,5.151,1.5229635069750957,4.780333333333334
2480,4.854,1.369771880538672,4.723999999999999
2460,4.167,1.0154195325190654,4.019
2440,3.036,0.43205343992783574,3.199666666666667
2420,2.396,0.10194353784261274,2.5496666666666665
2400,2.217,0.009615924603152047,2.231333333333333
2380,2.081,-0.06053242958995789,2.108
2360,2.026,-0.08890124930040681,2.065
2340,2.088,-0.0569218525359007,2.135666666666667
2320,2.293,0.0488164754757723,2.291666666666667
2300,2.494,0.15249161659941265,2.5690000000000004
2280,2.92,0.372221020174889,2.997333333333333
2260,3.578,0.7116152632562588,3.771333333333333
2240,4.816,1.3501716051023618,4.790666666666667
2220,5.978,1.9495273960758446,6.096
2200,7.494,2.7314752266402165,7.469
2180,8.935,3.474738303053977,8.941
2160,10.394,4.227285720463883,10.475333333333333
2140,12.097,5.105687538043781,11.516333333333334
2120,12.058,5.0855714658854625,11.253
2100,9.604,3.8198063100774355,
